지점명,지번주소,도로명주소,지역구,점포유형
Boots 대치역점,서울 강남구 대치동 599,"서울 강남구 남부순환로 2947 (대치동, 대원빌딩) 102호",서울,이마트
Boots 마리오아울렛점,서울 금천구 가산동 60-20,"서울 금천구 벚꽃로 266 (가산동, 마리오아울렛3) 마리오아울렛 3관 1층",서울,이마트
Boots 스타필드 코엑스점,서울 강남구 삼성동 159,"서울 강남구 영동대로 513 (삼성동, 코엑스) 코엑스몰 지하 1층 A101호",서울,이마트
Boots 신촌점,서울 서대문구 창천동 18-50,"서울 서대문구 신촌로 99 (창천동, 엘리트빌딩) 1층",서울,이마트
Boots 여의도IFC점,서울 영등포구 여의도동 23,"서울 영등포구 국제금융로 10 (여의도동, 서울 국제금융 센터) L2층",서울,이마트
Boots 이마트자양점,서울 광진구 자양동 227-7,"서울 광진구 아차산로 272 (자양동, 더샵스타시티) B1층",서울,이마트
Boots 타임스퀘어점,서울 영등포구 영등포동4가 442,"서울 영등포구 영중로 15 (영등포동4가, 타임스퀘어) 타임스퀘어 B1층",서울,이마트
PK PEACOCK 대치역점,서울 강남구 대치동 599,"서울 강남구 남부순환로 2947 (대치동, 대원빌딩) 지하 1층",서울,이마트
SSG 도곡점,서울특별시 강남구  도곡동 467-17,서울특별시 강남구  언주로30길 57 타워팰리스II 지하1층,서울,이마트
SSG 청담점,서울특별시 강남구  청담동 4-1,서울특별시 강남구  도산대로 442 ,서울,이마트
가든5점,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로 10 ,서울,이마트
가양점,서울특별시 강서구 가양동 449-19,서울 강서구 양천로 559 ,서울,이마트
구로점,서울특별시 구로구 구로동 188-26,서울 구로구 디지털로 32길 43 ,서울,이마트
노브랜드 SF코엑스몰점,서울 강남구 삼성동 159,"서울 강남구 영동대로 513 (삼성동, 코엑스) B2층",서울,이마트
노브랜드 강남대치역점,서울 강남구 대치동 599,"서울 강남구 남부순환로 2947 (대치동, 대원빌딩) B1층 B103호",서울,이마트
노브랜드 강남삼성점,서울 강남구 삼성동 21-1,"서울 강남구 삼성로 633 (삼성동, 삼광빌딩) ",서울,이마트
노브랜드 강남세곡점,서울 강남구 세곡동 595,서울 강남구 헌릉로569길 29 (세곡동) ,서울,이마트
노브랜드 강남역삼점,서울 강남구 역삼동 832-5,"서울 강남구 강남대로 324 (역삼동, 역삼디오슈페리움) ",서울,이마트
노브랜드 강남터미널점,서울 서초구 반포동 19-4,"서울 서초구 신반포로 194 (반포동, 강남고속버스터미널) 지하층 대형1호",서울,이마트
노브랜드 강남한티역점,서울 강남구 대치동 922-25,서울 강남구 선릉로 318 (대치동) ,서울,이마트
노브랜드 강서가양점,서울 강서구 가양동 54-5,서울 강서구 양천로 410 (가양동) 1층,서울,이마트
노브랜드 강서마곡점,서울 강서구 마곡동 768-2,"서울 강서구 마곡서로 101 (마곡동, 동익드미라벨복합빌딩) 1층 127~132호",서울,이마트
노브랜드 경동시장점,서울 동대문구 제기동 1019,"서울 동대문구 고산자로36길 3 (제기동, 경동시장) 2층",서울,이마트
노브랜드 노원 중계점,서울 노원구 중계동 311-25,서울 노원구 중계로 119 ,서울,이마트
노브랜드 노원상계점,서울 노원구 상계동 1040-18,서울 노원구 수락산로 222 ,서울,이마트
노브랜드 동대문두타몰점,서울 중구 을지로6가 18-12,"서울 중구 장충단로 275 (을지로6가, 두산타워빌딩) 4층 1호",서울,이마트
노브랜드 동대문장안점,서울 동대문구 장안동 580,"서울 동대문구 한천로 42 (장안동, 위더스빌) 지하 1층",서울,이마트
노브랜드 마리오아울렛점,서울 금천구 가산동 60-20,"서울 금천구 벚꽃로 266 (가산동, 마리오아울렛3) 지하1층",서울,이마트
노브랜드 서대문신촌점,서울 서대문구 창천동 13-2,서울 서대문구 명물길 32 ,서울,이마트
노브랜드 서울서초G5점,서울 서초구 서초동 1685-8,"서울 서초구 서초중앙로24길 27 (서초동, G5센트럴프라자) ",서울,이마트
노브랜드 서울서초점,서울 서초구 서초동 1316-28,서울 서초구 서초대로73길 7 (서초동) ,서울,이마트
노브랜드 서초방배점,서울 서초구 방배동 907-4,"서울 서초구 방배로 110 (방배동, 하나은행) 1층 일부",서울,이마트
노브랜드 송파문정점,서울 송파구 문정동 624,"서울 송파구 법원로 55 (문정동, 송파아이파크) 상가 1층",서울,이마트
노브랜드 엔터식스한양대점,서울 성동구 행당동 155-1,"서울 성동구 왕십리로 241 (행당동, 서울숲 더샵) ",서울,이마트
노브랜드 영등포양평점,서울 영등포구 양평동5가 27,서울 영등포구 양평로 135 (양평동5가) ,서울,이마트
노브랜드 영등포여의도점,서울 영등포구 여의도동 17-3,"서울 영등포구 의사당대로 8 (여의도동, 삼환까뮤빌딩) 1층 일부",서울,이마트
노브랜드 은평진관점,서울 은평구 진관동 74,"서울 은평구 진관2로 19 (진관동, 휴먼프라자 I) 108~114호",서울,이마트
논현점,서울 강남구 논현동 164-7,서울 강남구 강남대로 512 ,서울,이마트
마포점,서울특별시 마포구 신공덕동 173,서울특별시 마포구 백범로 212 ,서울,이마트
명일점,서울특별시 강동구 명일동 46-4,서울 강동구 고덕로 276 ,서울,이마트
목동점,서울특별시 양천구 목동 962,서울특별시 양천구 오목로 299 ,서울,이마트
묵동점,서울특별시 중랑구 묵동 170-1,서울특별시 중랑구 동일로 932 ,서울,이마트
미아점,서울특별시 성북구 길음동 25-2,서울특별시 성북구 도봉로 17 (길음동),서울,이마트
상봉점,서울특별시 중랑구 망우동 506-1,서울 중랑구 상봉로 118 ,서울,이마트
성수점,서울특별시 성동구 성수동2가 333-16,서울 성동구 뚝섬로 379 ,서울,이마트
수색점,서울 은평구 수색동 75,"서울 은평구 수색로 217 (수색동, 디엠씨 자이1단지(DMC 자이1)) ",서울,이마트
수서점,서울특별시 강남구 수서동 724,서울특별시 강남구 광평로 280 ,서울,이마트
신도림점,서울특별시 구로구 구로동 3-25,서울특별시 구로구 새말로 97 테크노마트 지하2층,서울,이마트
신월점,서울특별시 양천구 신월동 26,서울특별시 양천구 화곡로 59 ,서울,이마트
양재점,서울특별시 서초구 양재동 204,서울특별시 서초구 매헌로 16 ,서울,이마트
여의도점,서울특별시 영등포구 여의도동 47,서울특별시 영등포구 여의동로3길 10 ,서울,이마트
역삼점,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로 310 ,서울,이마트
영등포점,서울특별시 영등포구 영등포동4가 442,서울특별시 영등포구 영중로 15 ,서울,이마트
왕십리점,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,서울,이마트
용산점,서울특별시 용산구  한강로3가 40-999,서울특별시 용산구  한강대로23길 55 ,서울,이마트
월계점,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길 15 ,서울,이마트
은평점,서울 은평구 응암동 90-1,서울 은평구 은평로 111 이마트 은평점,서울,이마트
이문점,서울특별시 동대문구 이문동 292-10,서울특별시 동대문구 이문로 136 ,서울,이마트
이수점,서울특별시 동작구 사당동 147-29 이수자이 B1,서울특별시 동작구 사당로 300 이수자이 B1,서울,이마트
자양점,서울특별시 광진구 자양동 227-7,서울특별시 광진구 아차산로 272 ,서울,이마트
창동점,서울특별시 도봉구 창동 135-26,서울 도봉구 노해로 65길 4 ,서울,이마트
천호점,서울특별시 강동구 천호동 454-1,서울 강동구 천호대로 1017 ,서울,이마트
청계천점,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400 ,서울,이마트
트레이더스 월계점,서울 노원구 월계동 333-1,"서울 노원구 마들로3길 17 (월계동, 월계트레이더스) 이마트 월계점 우측건물 1층",서울,이마트
하월곡점,서울특별시 성북구 하월곡동 230,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",서울,이마트
