지점명,지번주소,도로명주소,점포유형
강변점,서울 광진구 구의3동 546,서울특별시 광진구 광나루로 56길 85,롯데마트
구로점,서울특별시 구로구 구로동 636-89,서울특별시 구로구 경인로 482,롯데마트
구로점,서울특별시 구로구 구로동 636-89,서울특별시 구로구 경인로 482,롯데마트
구로점,서울특별시 구로구 구로동 636-89,서울특별시 구로구 경인로 482,롯데마트
VIC금천점,서울 금천구 독산동 295-10,서울 금천구 두산로 71 ,롯데마트
김포공항점,서울 강서구 방화동 886,서울시 강서구 하늘길 38,롯데마트
김포공항점,서울 강서구 방화동 886,서울시 강서구 하늘길 38,롯데마트
VIC도봉점,서울 도봉구 방학동 717-6,서울 도봉구 마들로 645,롯데마트
삼양점,서울 강북구 미아동 1359,서울특별시 강북구 삼양로 247,롯데마트
서울역점,서울 중구 봉래동2가 122,서울 중구 청파로 426 ,롯데마트
송파점,서울 송파구 문정동 150-2,서울 송파구 중대로 80 ,롯데마트
송파점,서울 송파구 문정동 150-2,서울 송파구 중대로 80 ,롯데마트
VIC영등포점,서울 영등포구 영등포동8가 62-1,서울 영등포구 영중로 125-0 ,롯데마트
VIC영등포점,서울 영등포구 영등포동8가 62-1,서울 영등포구 영중로 125-0 ,롯데마트
잠실점,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240 롯데마트 잠실점,롯데마트
잠실점,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240 롯데마트 잠실점,롯데마트
서초점,서울 서초구 서초동 1498-5,서울 서초구 서초대로 38길12 ,롯데마트
중계점,서울 노원구 중계동 361,서울 노원구 노원로 330 ,롯데마트
중계점,서울 노원구 중계동 361,서울 노원구 노원로 330 ,롯데마트
중계점,서울 노원구 중계동 361,서울 노원구 노원로 330 ,롯데마트
청량리점,서울 동대문구 전농동 591-53,서울 동대문구 왕산로 214 ,롯데마트
청량리점,서울 동대문구 전농동 591-53,서울 동대문구 왕산로 214 ,롯데마트
행당역점,서울 성동구 행당2동 346번지 한진타운상가 B2~B3층,서울 성동구 행당로 82 한진타운상가 B2~B3층,롯데마트
월드타워점,서울시 송파구 신천동 29번지 ,서울 송파구 신천동 올림픽로300 ,롯데마트
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,롯데마트
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,롯데마트
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,롯데마트
양평점,서울 영등포구 양평동3가 45,서울 영등포구 선유로 138-0 ,롯데마트
금천점,서울 금천구 독산동 1155,서울 금천구 시흥대로 291-0 ,롯데마트
Boots 대치역점,서울 강남구 대치동 599,"서울 강남구 남부순환로 2947 (대치동, 대원빌딩) 102호",이마트
Boots 마리오아울렛점,서울 금천구 가산동 60-20,"서울 금천구 벚꽃로 266 (가산동, 마리오아울렛3) 마리오아울렛 3관 1층",이마트
Boots 스타필드 코엑스점,서울 강남구 삼성동 159,"서울 강남구 영동대로 513 (삼성동, 코엑스) 코엑스몰 지하 1층 A101호",이마트
Boots 신촌점,서울 서대문구 창천동 18-50,"서울 서대문구 신촌로 99 (창천동, 엘리트빌딩) 1층",이마트
Boots 여의도IFC점,서울 영등포구 여의도동 23,"서울 영등포구 국제금융로 10 (여의도동, 서울 국제금융 센터) L2층",이마트
Boots 이마트자양점,서울 광진구 자양동 227-7,"서울 광진구 아차산로 272 (자양동, 더샵스타시티) B1층",이마트
Boots 타임스퀘어점,서울 영등포구 영등포동4가 442,"서울 영등포구 영중로 15 (영등포동4가, 타임스퀘어) 타임스퀘어 B1층",이마트
PK PEACOCK 대치역점,서울 강남구 대치동 599,"서울 강남구 남부순환로 2947 (대치동, 대원빌딩) 지하 1층",이마트
