지점명,지번주소,도로명주소,점포유형
강변점,서울 광진구 구의3동 546,서울특별시 광진구 광나루로 56길 85,롯데마트
구로점,서울특별시 구로구 구로동 636-89,서울특별시 구로구 경인로 482,롯데마트
구로점,서울특별시 구로구 구로동 636-89,서울특별시 구로구 경인로 482,롯데마트
구로점,서울특별시 구로구 구로동 636-89,서울특별시 구로구 경인로 482,롯데마트
VIC금천점,서울 금천구 독산동 295-10,서울 금천구 두산로 71 ,롯데마트
김포공항점,서울 강서구 방화동 886,서울시 강서구 하늘길 38,롯데마트
김포공항점,서울 강서구 방화동 886,서울시 강서구 하늘길 38,롯데마트
VIC도봉점,서울 도봉구 방학동 717-6,서울 도봉구 마들로 645,롯데마트
삼양점,서울 강북구 미아동 1359,서울특별시 강북구 삼양로 247,롯데마트
서울역점,서울 중구 봉래동2가 122,서울 중구 청파로 426 ,롯데마트
송파점,서울 송파구 문정동 150-2,서울 송파구 중대로 80 ,롯데마트
송파점,서울 송파구 문정동 150-2,서울 송파구 중대로 80 ,롯데마트
VIC영등포점,서울 영등포구 영등포동8가 62-1,서울 영등포구 영중로 125-0 ,롯데마트
VIC영등포점,서울 영등포구 영등포동8가 62-1,서울 영등포구 영중로 125-0 ,롯데마트
잠실점,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240 롯데마트 잠실점,롯데마트
잠실점,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240 롯데마트 잠실점,롯데마트
서초점,서울 서초구 서초동 1498-5,서울 서초구 서초대로 38길12 ,롯데마트
중계점,서울 노원구 중계동 361,서울 노원구 노원로 330 ,롯데마트
중계점,서울 노원구 중계동 361,서울 노원구 노원로 330 ,롯데마트
중계점,서울 노원구 중계동 361,서울 노원구 노원로 330 ,롯데마트
청량리점,서울 동대문구 전농동 591-53,서울 동대문구 왕산로 214 ,롯데마트
청량리점,서울 동대문구 전농동 591-53,서울 동대문구 왕산로 214 ,롯데마트
행당역점,서울 성동구 행당2동 346번지 한진타운상가 B2~B3층,서울 성동구 행당로 82 한진타운상가 B2~B3층,롯데마트
월드타워점,서울시 송파구 신천동 29번지 ,서울 송파구 신천동 올림픽로300 ,롯데마트
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,롯데마트
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,롯데마트
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,롯데마트
양평점,서울 영등포구 양평동3가 45,서울 영등포구 선유로 138-0 ,롯데마트
금천점,서울 금천구 독산동 1155,서울 금천구 시흥대로 291-0 ,롯데마트
