지점명,지번주소,도로명주소,점포유형
가양점,,서울특별시 강서구 양천로 431,홈플러스
강동점,,서울특별시 강동구 양재대로 1571,홈플러스
강서점,,서울특별시 강서구 화곡로 398,홈플러스
금천점,,서울특별시 금천구 시흥대로 391,홈플러스
동대문점,,서울특별시 동대문구 천호대로 133,홈플러스
면목점,,서울시 중랑구 사가정로 332 (면목동),홈플러스
목동점,,서울특별시 양천구 목동서로 170,홈플러스
방학점,,서울특별시 도봉구 도봉로 678,홈플러스
서울남현점,,서울시 관악구 과천대로 909,홈플러스
서울상봉점,,서울특별시 중랑구 망우로 353,홈플러스
시흥점,,서울특별시 금천구 시흥대로 201,홈플러스
신내점,,서울특별시 중랑구 신내로 201,홈플러스
신도림점,,서울특별시 구로구 경인로 661,홈플러스
영등포점,,서울특별시 영등포구 당산로 42,홈플러스
월곡점,,서울특별시 성북구 화랑로 76,홈플러스
월드컵점,,서울시 마포구 성산동 515 홈플러스월드컵점,홈플러스
잠실점,,서울특별시 송파구 올림픽로35가길 16,홈플러스
중계점,,서울특별시 노원구 동일로 204가길 12,홈플러스
합정점,,서울시 마포구 양화로 45,홈플러스
