정류소ID,모바일ID,정류소명,영문명,시/도,구/군,동,X좌표,Y좌표,경유노선수,경유노선
7001000100,05191,대명시장앞,Daemyeong Market,대구광역시,남구,대명3동,12834.6278,3551.5214,7,"509, 650, 706, 805, 836, 달서4, 순환2-1"
7001000200,02164,대명시장건너,Daemyeong Market,대구광역시,중구,남산4동,12834.6689,3551.5184,7,"509, 650, 706, 805, 836, 달서4-1, 순환2"
7001000300,02166,계명대학교대명캠퍼스앞,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,12834.8509,3551.4267,7,"509, 650, 706, 805, 836, 달서4, 순환2-1"
7001000400,02163,계명대학교대명캠퍼스건너,Keimyung University Daemyeong Campus,대구광역시,중구,남산4동,12834.8004,3551.4605,7,"509, 650, 706, 805, 836, 달서4-1, 순환2"
7001000500,02196,중부소방서건너,Jungbu Fire Station,대구광역시,중구,대신동,12834.5403,3551.7872,4,"250, 323, 909, 성서2"
7001000600,02198,중부소방서앞,Jungbu Fire Station,대구광역시,중구,남산4동,12834.6056,3551.7831,3,"250, 323-1, 급행6"
7001000700,02195,대신센트럴자이,Daesin Central Xi,대구광역시,중구,대신동,12834.6787,3551.8217,5,"250, 323, 909, 급행6, 성서2"
7001000800,00445,청라언덕(신남)역(1번출구),Cheongna Hill(Sinnam) Station,대구광역시,중구,대신동,12834.871003,3551.881513,4,"250, 323, 909, 성서2"
7001000900,02199,엘디스리젠트호텔건너,Eldis Regent Hotel,대구광역시,중구,남산2동,12835.2044,3551.9649,2,"405, 609"
7001001000,00643,엘디스리젠트호텔앞,Eldis Regent Hotel,대구광역시,중구,성내2동,12835.1149,3551.9586,7,"405, 609, 840, 909, 990, 991, 북구2"
7001001100,02200,현대백화점.동아쇼핑건너,Hyundai Dept. Store. DongA Shopping Center,대구광역시,중구,남산2동,12835.4056,3551.9538,5,"405, 609, 840, 990, 991"
7001001300,02202,봉산문화거리앞,Bongsan Culture Street,대구광역시,중구,성내1동,12835.831,3551.8805,3,"306, 730, 805"
7001001400,05338,2호선반월당역1,Banwoldang Station,대구광역시,중구,성내1동,12835.7445,3551.9045,5,"609, 840, 990, 991, 급행2"
7001001500,02192,봉산문화거리건너,Bongsan Culture Street,대구광역시,중구,성내1동,12835.8167,3551.9012,4,"306, 649, 730, 805"
7001001600,05018,반월당역(2번출구),Banwoldang Station,대구광역시,중구,남산1동,12835.5947,3551.7615,13,"204, 304, 306, 349, 401, 405, 410, 503, 518, 649, 650, 706, 805"
7001001700,02218,반월당역(1번출구)1,Banwoldang Station,대구광역시,중구,남산2동,12835.5896,3551.8008,8,"306, 349, 401, 405, 410-1, 503, 650, 805"
7001001800,02205,남문시장건너2,Nammun Market,대구광역시,중구,남산1동,12835.5238,3551.5737,12,"204, 304, 306, 349, 405, 410, 503, 518, 649, 650, 706, 805"
